# encoder and dsp items the pipeline never calls. Generated by
# tools/dead_code_ledger.py --write; checked in CI. Columns: crate, module,
# file, kind (rustc's words), item, tests (yes = only the parity tests call
# it; no = nothing does). 809 items in 53 modules, 136 with no caller at all.
dsp	port_convolve_hbd	port_convolve_hbd.rs	enum	HbdKernel	yes
dsp	port_convolve_hbd	port_convolve_hbd.rs	function	hbd_kernel_for	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	constant	FULL_MASK	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	constant	SEG_MASK_LEN	no
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	constant	TMP_DST_CB_OFFSET	no
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	constant	TMP_DST_CR_OFFSET	no
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	constant	TMP_DST_Y_OFFSET	no
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	ii_chroma_origins	no
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	ii_left_multiplier	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	intra_pred_strides	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	per_ref_is_masked	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	post_pass_order	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	pu_component_mask	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	runs_ifs	no
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	sub8x8_inter	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	function	sub8x8_window	yes
dsp	port_full_pd1_pred	port_full_pd1_pred.rs	struct	PostPasses	yes
dsp	port_make_pred	port_make_pred.rs	associated items	MAX_SB_SIZE	yes
dsp	port_make_pred	port_make_pred.rs	associated items	redirect	yes
dsp	port_make_pred	port_make_pred.rs	function	masked_arm_clears_do_average	yes
dsp	port_make_pred	port_make_pred.rs	function	src_offset	yes
dsp	port_make_pred	port_make_pred.rs	function	warp_plane_extents	no
dsp	port_make_pred	port_make_pred.rs	struct	MaskedPredScratch	yes
dsp	port_pack	port_pack.rs	function	pack2d_takes_simd_arm	yes
dsp	scale	scale.rs	associated items	is_scaled	yes
dsp	scale	scale.rs	associated items	new	yes
dsp	scale	scale.rs	associated items	scale_x	no
dsp	scale	scale.rs	associated items	scale_y	no
dsp	scale	scale.rs	function	scaled_prediction	yes
dsp	scale	scale.rs	struct	ScaleFactors	yes
dsp	warp	warp.rs	constant	WARPEDMODEL_PREC_BITS	yes
dsp	warp	warp.rs	constant	WARP_PARAM_REDUCE_BITS	no
dsp	warp	warp.rs	function	count_warp_samples	yes
dsp	warp	warp.rs	function	warp_prediction	yes
encoder	dist_facade	dist_facade.rs	function	classify	yes
encoder	dist_facade	dist_facade.rs	function	is_inter_compound_mode	yes
encoder	dist_facade	dist_facade.rs	function	picture_full_distortion32_facade	yes
encoder	dist_facade	dist_facade.rs	function	spatial_full_distortion_facade	yes
encoder	dist_facade	dist_facade.rs	struct	FacadeMode	yes
encoder	film_grain_synthesis	film_grain_synthesis.rs	function	add_grain	yes
encoder	inter_me	inter_me/context.rs	variants	CloseLoop	no
encoder	inter_me	inter_me/context.rs	variants	DgDetector	no
encoder	inter_me	inter_me/context.rs	variants	FirstPass	no
encoder	inter_me	inter_me/context.rs	variants	Tpl	no
encoder	inter_me	inter_me/obmc_search.rs	constant	USE_8_TAPS	yes
encoder	inter_me	inter_me/sad.rs	function	compute8x4_sad_kernel	yes
encoder	inter_me	inter_me/sad.rs	function	compute8x8_sad_kernel	no
encoder	inter_me	inter_me/sad.rs	function	ext_eight8_dispatch_scalar	no
encoder	inter_me	inter_me/sad.rs	function	ext_eight8_dispatch_v3	no
encoder	inter_me	inter_me/sad.rs	function	ext_eight8_dispatch_v4	no
